,idx,class,conversation
2525,2525,갈취 대화,"돈 줘라.
몇 년 친구인데 돈 좀 줘.
안돌려줘도 너가 나한테 빚진게 얼마인데?
야 내놔! 이 정도면 나한테 은혜 갚을 수 있네.
이 걸로 범죄 공범인 것 비밀로 부쳐줄게. 짜져있어."
2526,2526,갈취 대화,"요즘에는 액수가 작네?
그게 나랑 무슨 상관이야?
야야야 당연하지 너 지키는 값이 작냐?
너 왕따에서 벗어나게 해준게 누구야 나잖아
다시 왕따속에서 구르고 싶은가봐? 괴롭혀줄까?아니면 돈 가져올래?"
2527,2527,협박 대화,"너가 어제 걔 건드렸냐?
너가 어제 걔 때렸다며!
무슨소리 걔 너때문에 입원했다고 당장 신고하기 전에 가서 사과해
무슨 말같지도 않은 소리 하지도 마 당장 같이가!
그럼 너도 걔랑 똑같이 만들어주지"
2528,2528,기타 괴롭힘 대화,"너 손목에 뭐 묻었다
점이 이렇게 커? 매직으로 일부러 칠한줄 알았잖아
그니까그래야겠네 이거 보고 사람들다 놀라겠다
나도 진짜 보고 놀라서 무서웠다니까 무슨 점이 저렇게 징그러운가해서
왜? 내가 없는 말 한것도 아니고
어머어머 애 너는 니 자신을 사랑할 줄도 알아야지 그러면 안돼!"
2529,2529,직장 내 괴롭힘 대화,"자네는 이번 회의에 빠지게
그런데 자네는 그냥 사무실이나 지켜 그게 어울려
어허 자네가 알아서 뭐하게 그래? 계약직이 왜 회의 참석하고 싶어해 너무 욕심아니야?
그래도는 무슨 그래도야 토달지 말고 그냥 여기서 전화나 받아 그게 어울려
표정이 왜그래? 지금 불만있어?"
2530,2530,기타 괴롭힘 대화,"어디가 아파 왔어요?
그런데요? 얼마나 아프다는 말이에요?
아니. 빨리 말을 하세요. 점심시간인데. 어디가 아픈지 빨리 말을해야 할것 아니에요
지금 환자분때문에 간호사들이 밥을 못먹고 있는거 아세요? 빨리 어디가 아픈지 말하세요 처방해줄테니까요.
네 여기요 이제 나가보세요.
다음 분 수급자 때문에 괜히 기다리시게 해서 죄송해요. 의료수급자들은 공짜로 진료받으면서 귀찮게 하네요."
2531,2531,기타 괴롭힘 대화,"너가 니?
너가 강의평가 한 내용을 봤는데. 내가 하는 수업방식을 되게 안좋게 썻더라고
 지금 수정 기회 줄테니까 수정해주겠니?
 대답이 왜그래? 안고칠거니?
 이제 곧 성적입력기간인데. 괜찮겠니?"
2532,2532,갈취 대화,"아가? 너 다짜고짜 그게 무슨 말이니?
너네 엄마는 그걸 고 새 너한테 얘기했다니? 참나
야 너무하긴 내가 뭐가 너무하니? 내가 못 받을 돈 내놓으라고 한 것도 아니고
너 같은거 내가 우리 아들만나게 해줬고 너 우리집에서 먹고 자고 다 하잖아! 그거 받은 건데 어?
못 줘! 아니 안 줘! 내가 왜? 니가 줄거니 그 돈?"
2533,2533,기타 괴롭힘 대화,"나 숙제 좀 대신 해주라.
안 돼. 나 여자친구랑 놀러가기로 했단 말이야.
이거 문제집 끝까지 다 푸는 거야.
응 너가 내 똘마니니까 네가 해줘.
이번주 수요일까지 부탁해"
2534,2534,기타 괴롭힘 대화,"저기요
애가 커피를 엎어서요
아니요 아가씨
아가씨가 닦으라구
응? 여기 그런일 하려고 알바하는거아니야?
응 아이가했으니가 알바인 아가씨가 닦아야지 얼른 와서 닦아"
2535,2535,갈취 대화,"와 멋잇다 이 헬멧
아니 멋져서 구경좀 했는데 
아니 형아 이거 형아 헬멧이야?
나도 갖고싶다 좀 써보도돼?
안돼? 내가 이 헬멧으로 형아 머리 날려도 안돼?"
2536,2536,직장 내 괴롭힘 대화,"어머 어디로 가는데? 왜 그렇게 멀리 잡혔지?
아니지. 6시까지만 일한거 인정되는거지. 그 이상은 안 돼.
그치. 너가 이동하는 시간을 우리가 왜 근무시간으로 인정해줘야 하는데? 교통비 안 주는것도 아니고.
원래가 어딨어 원래가 회사마다 다른거지. 3시간동안 풍경도 보면서 여행다녀온다 생각하고 갔다와. 그런 사정 하나하나 봐주면 끝도 없어.
그럼 돈 쓰러 간다고 생각한던지. 우리가 왜 너가 업무하러 가는데 그것도 근무시간으로 쳐줘야 하는데? 너 돈독 올랐구나? 그거 하나 갔다온다고 유세 떠는거니?"
2537,2537,직장 내 괴롭힘 대화,"아침에 전화를 받지 말든지 받았으면 제대로 해결을 하든지
전달하기 힘들면 니 개인 수천에 메모해놓지말고 여기 중앙에다가 써놓든지 전달을 제대로 하든지 손님보고 다 가능하다고 했다며
욕은 내가 다 듣고 뭐하는 짓이야
앞으론 아침에 전화를 받지 말든지 받았으면 혼자 독단적으로 말하지말고 나한테 물어보고 해결보고 손님한테 전화해"
2538,2538,협박 대화," 나 아니야
 나 아니라니까 자꾸 그러네 누군가 몰카 설치했나보지.
 아이 씨. 나를 못믿어 사람을 못믿고 지랄이야
 나 아니라니까 니가 자꾸 니가 의심하잖아 짜증나네
 짜증나게 하지마 죽여버리기 전에"
2539,2539,갈취 대화,"너잠깐만
그래 너. 너말고 누구있어?
형이 돈이좀 필요해
나도 필요해
죽고싶어? 빨리 안내놔"
2540,2540,갈취 대화,"오빠 돈 좀 줘
없어? 진짜없어? 다뒤진다
아씨 닥치고 빨리 내놓으라고 지금저거 사야된다고!!
안 주면 진심 나 집 나가버린다
고마워 역시 내 지갑 "
2541,2541,직장 내 괴롭힘 대화,"김대리 어제 보니까 여자친구랑 있던 것 같은데 맞지?
우아 좋겠다. 여친 이쁘더라
여친 나이 몇살이야? 진도 어디까지 나갔어? 결혼할꺼야?
에이 뭐가 부끄러워. 오늘도 만나? 만나면 뭐하나?
자세하게 좀 말해봐. 궁금해서 그래.
왜 기분나빠?"
2542,2542,직장 내 괴롭힘 대화,"너 프로그램 최적화 이 따위로 할거야?
앵무새 디자이너며 원숭이 프로그래머 회사 참 잘돌아간다.
야 너 말다했어 미쳤구나
이 새끼가.
뭐야 너 이자식
넌 안되겠다 어처피 그 기록을 전달하려면 암호가 필요하거든 넌 이제 끝났어 임마
그래 넌 그런 좋은 회사에 깽판을 치려고 하니 그리고 넌 경력도 요절 날줄 알아"
2543,2543,기타 괴롭힘 대화,"최민철 너 내일까지 나 대신 내 깜지 쫌 써와라.
너 공부 잘하잖아넌 몇개 안틀릴텐데 그럼 넌 쉬운 거아냐? 그니까 내 것좀 니가 해오라고.
이 새끼 말귀를 못알아 쳐먹나. 내가 그거 쓸 시간이 없다고. 공부한다 생각하고 좀 써와라.
날을 새서라도 써와. 안해오면 알지?
야 얘 잡아. 말로 해서는 못알아들으시겠나본데"
2544,2544,기타 괴롭힘 대화,"너 옷 뭐냐?
아니 무슨 시장바닥에서 산 것마냥 촌스러워서
너랑 다니기 창피하다
아 그래? 너희 엄마 안목 구리다
욕하는게 아니라 그냥 말한건데? 왜 기분나빠?"
2545,2545,직장 내 괴롭힘 대화,"어이 김인턴! 이리 와봐!
 김인턴 요즘 퇴근을 너무 일찍하던데?
 아니 우리팀 전체가 7시까지 초과근무 하는데 혼자만 퇴근해?
 나 인턴때는 말이야 일이 없어도 같이 남아있고 그랬었다고!
 김인턴 이런식이면 정규직 사원 되기 어려워?"
2546,2546,직장 내 괴롭힘 대화,"길동선생님 카운팅 다 했지?
 그걸 나보고 어쩌라고? 찾을 때까지 퇴근 못하는거 알지?
 30분후 어머 길동선생님 아직도 퇴근안했어?
 제대로 하는게 없네. 물품하나도 못챙기고 뭐하는거야 지금? 대학교 다닌거 맞아? 빨리 당장 찾아와.
 1시간후 길동선생님 어쩌나 이게 내 주머니에 있었네 이제 퇴근해"
2547,2547,기타 괴롭힘 대화,"고마워 예지야.
하하.그렇지 어릴 때는 엄마 일찍 돌아가신게 참.힘들었는데 그래도 그 때를 계기로 더 열심히 한 것 같아.
그만해 예지야. 좋은 날 그런 얘기를 왜해. 다들 오랜만에 봐서 다 좋다. 
난 이번에 엄마 친구분들이랑 여행보내드렸어 참 여행비용 장난아니더라.넉넉하게 용돈드리고 하니까 하하
난 니가 부럽다야. 엄마 여행보낸다고 용돈 드릴 것도 없어서"
2548,2548,기타 괴롭힘 대화,"야 니 여자친구 무슨 일이냐?
와. 스펙타클 하네
어휴 병신 니 수준이 그 모양이라서 걔가 바람핀거지 뭐.
야 걔가 뭐가 아쉽다고 군대에 있는 널 기다리겠냐. 그냥 새 사람 만나라는 거지.
미련하다 미련해. 내가 걔였어도 너같은 루저랑 만날 바에 10명이랑 바람 폈겠다.
그냥 나가 죽어라 병신아."
2549,2549,기타 괴롭힘 대화,"어이 애자
그래 애자너 요즘도 다리 쩔뚝거리냐?
쩔뚝이가 쩔뚝 안거리고 뚜벅뚜벅 걷는구만
뚜벅이나 쩔뚝이나 뭘 하든 넌 애자인거 알지?
아 이새끼 말대꾸하는 것 봐"
2550,2550,협박 대화,"왜 말을 안들어?
싫어?
어떻게? 지금 네 목에 닿아 있는 이 칼을 너에게 주면 나를 찌를 수 있으려나? 어때? 자 네가 원하는 것이 여기에 있어. 가져가 봐 이걸로 네가 나를 죽이지 못하면 네가 죽는거야. 신중히 생각해. 이 칼을 받을지 내 말을 들을지
그렇게 손 떨지말고! 내 목에 칼을 대는거야.
그래. 그런데 칼을 그렇게 잡고 어떻게 찌르려고?
다시 나한테 왔네. 이제 어떻게 할까? 너도 궁금하지? 안그래?"
2551,2551,갈취 대화,"돈을 빌려주세요 안 빌려주면 곤란해요
아직 그 집에 삽니까?
부인이 집에만 있죠?
여기서 30분이면 가겠네요
말한대로 돈 주시면 안갑니다"
2552,2552,협박 대화,"야 비번 풀어 안 그러면 니 머리통에 구멍 나는 거야
헛소리하지 말고 당장 비번 풀어 총 쏴버리기 전에
그래 니 머리통 말고 먼저 니 아들래미 머리통이 날아가봐야 순순히 비번을 풀겠구나?
그래 처음부터 순순히 그랬으면 좋잖아.
혹시 틀린 비번이기만해 넌 그 즉시 머리통 날아간다."
2553,2553,갈취 대화,"어이 형씨 돈 좀 있어?
하 거참 나 속일 생각하지 마 지금 걸친 것만 해도 몇백만 원은 하게 생겼구먼
아 싼 거든 비싼 거든 아 현금 한 푼도 없냐고! 주머니 뒤져서 나오기만 해
카드 뒀다 뭐해? 돈 뽑아서 내놔
카드가 없긴 뭐가 없어 아까 니가 저기 편의점에서 카드 결제하는 거 다 봤구먼 당장 돈 뽑아서 와"
2554,2554,직장 내 괴롭힘 대화,"김비씨 이번 연휴에 뭐했어 ?
 그래? 어디로?
 누구랑 갔는데?
 친구? 친구 맞아? 남자친구 아니고??
 뭘 또 부끄러워하고 그래 괜찮아"
2555,2555,기타 괴롭힘 대화,"아니야. 나 그런거 없어
아니야. 그러지마
그만하세요. 그러다 신고당해요
너 어디나오지말고 방에 박혀있어라 이자식아. 니네 엄마는 너낳고 미역국 맛있게 드셨냐?
자식 또 엄마 건드린다고 움찔하네. 움찔움찔움찔"
2556,2556,갈취 대화,"너 어디가냐? 주머니에 든 거 뭐야?
새끼야. 네 주머니에 돈 있는 거 다 알아. 처맞기 전에 내놔라.
내 주머니에 뭐 있는지부터 보여줄까? 칼 들어 있어. 나 칼 들고 다니는 사람이야.
빨리 안 내놓으면 찌른다. 돈 내놔.
이거 밖에 없어? 진짜 맞을래? 폰도 내놔."
2557,2557,갈취 대화,"지금 너 담배 피고 오는 거지? 내가 다봤어.
 내가 너 가방에도 담배 너놓고 다니는 거 다 알아.
 아 됐고 5만원만 가져와. 안그려면 쌤이랑 너희 엄마 한테 다 이른다.
 그래 처음부터 말을 들을 것이지.
 그래. 근데 너 수상하다. 돈을 이렇게 가져오니깐 내가 너 지켜 볼거야."
2558,2558,협박 대화,"세면대에서 코 좀 풀지마
 휴지에 안풀고 일부러 세면대에서 있는 힘껏 풀지말라구
 배수구 청소해보면 샤워기 물 틀어도 안씻겨 배수관 막혀서 역류하면 어쩔건데? 다른 사람 고생시키지 말고 시키는대로 해
 계속 비협조적이면 나 못참아
 접골원에 가서도 뼈 못맞추게 두들겨팰거야"
2559,2559,직장 내 괴롭힘 대화,"일을 못하면 말이라도 잘 하던지
나 때는 이러면 바로 불려갔어 알아?
요즘 젊은이들은 끈기가 없어 끈기가
열심히 말고 잘 하란말야
아휴 답답해 꺼져"
2560,2560,기타 괴롭힘 대화," 쟤 나 따라해. 따라하지마.
부탁이야. 진짜 싫어. 하지말라고.
정말이니? 무엇을 따라하는데?
선생님 제가 얘를 왜 따라해요. 저 진짜 아니에요. 얘가 저 따라하지 제가 왜 따라해요.
네."
2561,2561,갈취 대화,"야 너 담배좀있냐
담배말고 그럼 현금있냐 담배좀사게
맞고 줄래 그냥줄래
한번 뒤져서 나오면 너 팔분질러버릴줄알아
빨리 가진거 다 꺼내봐"
2562,2562,기타 괴롭힘 대화,"민서야
너 되게 불편해보여
옷이 너무 끼는것같아 숨쉬기 안불편해?
아니 친구로서 니가 옷이 불편해보여서 걱정하는거야
내가 안괜찮아보이는데 너 보는 것만으로도 불편하다 애 살좀빼"
2563,2563,기타 괴롭힘 대화,"너 이자세는 할 줄 알아?
아니 너 몸 진짜 못움직이나 한번 보게
아 진짜 못하나??? 푸하하하하하 쌤통이다 너 못움직이니까 답답해뒤지겠지??
쯧쯧진짜 부모님 고생시키지 말고 그냥 죽어 나같음 죽었다
왜 때리고 싶냐떄려봐떄려봐"
2564,2564,갈취 대화,"폰 좀 빌렬주라
 오 새로 샀냐? 좋네
 나랑 폰 하루만 바꾸자
 야 우리 우정이 이정도였어? 겨우 이런거하나 못 빌려주게?
 너 웃긴다 나도 너의 거절을 거절할게
 싫어 하루만 쓸게"
2565,2565,직장 내 괴롭힘 대화,"신입 일로 와서 옆에 앉게나
이번 신입이 예뻐
자 여기 잔 받으시게
어허! 어디 과장이 주는 데 이걸 빼나
어허! 요즘 신입들은 이래서 안된다니까"
2566,2566,기타 괴롭힘 대화,"내 이름은 성기가 아니라 성기석이야.
그만하라고 했잖아!
아 그래 성기야. 불쾌했니? 미안해
자지석 하하하하하.
야 자지가 그만 좀 하란다. 그래 미안해."
2567,2567,직장 내 괴롭힘 대화,"보고를 그딴식으로 했냐?
나 멕이려고 그런거지 일부러?
웃기지마 나한테 악감정있어서 그렇게 지른거잖아
하. 내가 그래도 너 위에 계속 있을텐데 어떻게 감당하려고 그랬냐
앞으로 좀 힘들거다 넌 각오 하고 회사 다녀라 아니면 그만두던지"
2568,2568,기타 괴롭힘 대화,"이마가 점점 넓어지는 것 같네
야 넌 머리까지 없으면 너무 우울하다
돈도 없고 못생긴게 머리도 없으면 어쩌냐
돈이라도 있으면 머리라도 심지
왜 나한테 그러냐 탈모는 유전인데"
2569,2569,협박 대화,"여자 새끼들은 한결같이 얌체 같아 넌 살 자격이 없어
저 봐라 자기 힘으로 안되니 남의 힘으로 약아 빠지게 제압하려고 하고
넌 죽어야 해 쓰레기야
그냥 죽어라. 남에 힘 빌리는 비겁함을"
2570,2570,협박 대화,"바빠서 미안. 왜 전화했어?
아 난 또 금방준다했잖아 조금만 기다려
아니 준다는데 왜 그러냐고 누가 니 돈 떼먹는데? 별 꼴같지 않은 몇 푼으로 이러기냐?
드럽고 치사해서 줄거야 거지처럼 구걸하지마라
너나 조심해 돈 받고싶으면 알아서 기어"
2571,2571,기타 괴롭힘 대화,"여기.희수야.
아니.그게.계속 모았는데.
그게 아니라. 애들도 이제 더.돈도 없다고하고.
더 이상은 무리여서.
미안해.그치만 정말 더는 안 모아져서."
2572,2572,기타 괴롭힘 대화,"야 김길동.
야 이 새끼 말 더듬는 것좀 봐
하 하지마. 우 우리 어 엄만 건드리지마.
니 엄마도 불쌍하다. 니같은거 낳아서
말해봐. 말해보라고 장애야"
2573,2573,직장 내 괴롭힘 대화,"자네는 왜 아까부터 술을 안마시나?
뭐? 아니 젊은 사람이 벌써 그래서 쓰나. 그래도 회식까지 와서 그러고 있는 건 보기좋지않네.
아니 내가 따라줄테니 딱 한 잔만 마시게나.
이 사람이 진짜 지금 상사가 말하는데 빼겠다는 건가?
당연히 원샷 해야지. 얼른 마시게나. 이것도 업무의 연장선이라는 거 모르나?"
2574,2574,갈취 대화,"저기 사물함 앞에 키 작은애!
그래 너! 너 아니면 누구겠냐? 너 오늘도 지갑 빵빵하지?
내 친구가 너 지갑에 돈 완전 많다고 그러던데.
너 지갑 털어서 나오면 가만 안둔다.
한대 맞고 줄래 그냥 줄래?"
2575,2575,갈취 대화,"어이 꼬마야 돈좀 있냐?
주머니 뒤져서 나오면 10원마다 한대씩이다?
야! 이리와봐!
시끄럽고 이리와 보라니까!
넌 좀 맞아야 겠다. 일단 "
2576,2576,직장 내 괴롭힘 대화,"땡땡씨 노래 한곡 불러봐
아니 분위기 봐봐 정신 못차려?
아니야 관둬 차라리 이번에 온 신입사원이 더 잘하겠다
네 알겠습니다
네?
알겠습니다"
2577,2577,갈취 대화,"야 너 돈 좀 있냐?
지랄하네. 니네 집 잘 살잖아. 오늘부터 일주일에 5만원씩 상납해라.
개새끼야. 뒤져서 돈 나올때 마다 존나게 쳐맞을래?
야 니네 여동생 어느중 몇반인지 다 알아. 돌려버리기 전에 아가리 닥치고 꼬박꼬박 상납해.
야 학주 온다. 병신아 알아들었으면 아가리 닫고 웃어. 친한 척해."
2578,2578,직장 내 괴롭힘 대화,"네? 20번요 ? 
20번은 너무 많아요 
쉬는날은 병원 가야 해요 
아니 전 다 외웠어요 
하. 알겠습니다"
2579,2579,직장 내 괴롭힘 대화,"어이 다들 똑바로 안해?
뭐? 물? 이게 미쳤나. 야 지금 고작 이거 조금 만들어 놓고 물을 달라고?
내가 다 너네 통장만들어서 저축해주고 있다고 했지? 어? 오늘따라 왜 이래?
그만 둬? 뭐? 그만둔다고? 참 야 그 동안 먹여주고 재워주고 일시켜주고 은혜도 모르는 자식이네?
지금 제일 바쁜 시기라고 말 했잖아 이 새끼야. 헛소리 하지말고 똑바로 일이나 해. 길거리로 쫓겨나기 싫으면."
2580,2580,기타 괴롭힘 대화,"상진아 형이 이번에 부업 하나 하려고 하는데 좀 도와줄래?
이제 겨울이고 해서 붕어빵 장사 좀 해보려고 하거든
아니 형이 자금은 대줄테니까 네가 좀 해라
그래 그렇게 생각하고 잘 운영해봐
하루 매출의 10퍼센트씩 일급으로 줄게
뭐가 너무해 넌 땡전 한 푼 보태지도 않고 하는건데
뭐?이게 비정상이라는거냐? 형이 하라면 해
장난하냐? 너 학교 다닐 때 형이 얼마나 많이 챙겨줬냐
그니까 그냥 하라고
완전 배은망덕한 새끼네 닥치고 해라
벌게 해준다잖아
그래? 그럼 너 이동네에서 절대 못 돌아다니게 해줄게
꺼져라 두고봐라 너"
2581,2581,갈취 대화,"손들어! 헛튼짓하면 쏴서 죽인다!
가방에 여기 있는돈 다 담아!
살고싶은면 돈 담아!! 그러면 살려줄게
그러니깐 빨리 담으라고!! 죽기 싫으면!
그래 빨리 담으면 사라져줄게"
2582,2582,직장 내 괴롭힘 대화,"그쵸 강과장님 요즘 미스김 남친이 잘 해주나 봐여 갈 수록 섹시해지네요
미스김 자꾸 이런 모습보이면 우리가 힘들자나 일을 못한다니까
과장님 자꾸 그런 말 하시면 듣기 불쾌합니다. 언행을 좀 자제해 주시면 좋겠습니다.
그러길 원하면 맘대로 하던가.
그저 뭐 일은 못하고 외모 하나만 좋으면서 뭐 그리 비싸게 굴고 난리야 이번 고과에서 두고 보자고."
2583,2583,기타 괴롭힘 대화,"어이
가서 단가 몇개갖고와라
아 씨바 단가 몇개 가지고오라고!!
모르면 군생활 끝나나?
너 앞으로 찐따다 알았냐? 찐따로 관등성명 대라"
2584,2584,기타 괴롭힘 대화,"비행기가 너무 높이 떠 있어서 추운것같아요
아니요 저이렇게 추울때는 할머니가 늘 안아주셨어요
아니요. 승무원 누나 말이 안통하시네요
누나가 안아주면 되잖아요
 죄송하면 그냥 안아주면 되지 왜 이렇게 피곤하게 구세요???
지금 고객을 남자로 보는거에요?? 제가 더 기분이 나쁘네요"
2585,2585,갈취 대화,"이봐 노인장. 30년 장사하면서 돈은 많이 불렸나?
다름이 아니라 슬슬 천당가실 때 됐는데 기왕가실때 좋은일 하나 하고 가라고.
내가 요즘 돈이 궁해서 말야. 어디 꿍쳐둔 돈 좀 없나?
하. 내가 모를줄 알고? 여기 장사 잘되잖아. 돈 많이 벌었을텐데?
그러지 말고. 내가 힘쓰기 전에 내놓아!!"
2586,2586,기타 괴롭힘 대화,"너 니 남편 조심해.
 니 남편 너한테 잘해주는거 다 나중에 너한테 빌붙으려고 하는거야. 지금 자기가 뭣도 없으니까 너한테 잘해놔야 나중에 비빌데라도 있지.
 야. 너네 부모님 공무원이라 연금 나오지. 너 지금 가게 대박나서 갑자기 돈 좀 벌지. 근데 니 남편은 가족도 자기도 가진게 아무 것도 없잖아. 그렇다고 직장이 번듯하니?
 열심히 살아야지. 이혼 안 당하려면. 그래서 너한테 잘해주는거야. 너 남편이 조금 잘해준다고 너무 좋아하지마. 니 뒷통수 칠 사람이니까.
 니가 아직 너무 착하고 순수해서 잘 모르나보다. 니네 남편 너한테 그렇게 잘해주다가 나중에 니 돈 뜯어가고 딴 살림 차릴지도 모르니까 너무 좋아하지마. 그거 다 자기 먹고 살려고 그러는거야."
2587,2587,갈취 대화,"웅 . 
엄마가 사주셨어 .
웅 . 해보기만 하고 돌려줘
어머 얘 나랑 너무 잘어울린다 이거 내가 가질래
에이 친구끼리 줄 수도 있지 안그래? 나도 소중하게 잘 쓸게
왕따 당하고 싶지 않으면 순순히 내놔 "
2588,2588,기타 괴롭힘 대화,"안녕하세요.
재.미.이.밌.잖아요.
재미.이.있느.으.는.데?
시.르.싫.어요.
왜요?"
2589,2589,직장 내 괴롭힘 대화,"거기. 어 그래 너.
이거 서류들 정리해서 오늘까지 끝내 놔.
근데 어쩌라고? 그래서 못하겠다는거야?
하. 이 새끼 대가리 좀 커졌다고 말대답을 하네? 하라면 하는거지 말이 많아?
회사 일보다 네 약속이 더 중요하다 이거지? 이번 인사 이동 때 기대하라고"
2590,2590,갈취 대화,"이 사장님 이거 오랜만입니다?
어쩐 일이냐뇨 섭섭하네요. 아니 다름이 아니라 제가 부탁 좀 드리려구요.
제가 이번에 사업을 하나 시작했는데 초기 자본이 영 딸리네요?
사장님 사장님이 이러시면 안되죠. 저번에 저희 애들이랑 룸에서 무슨 일 있었는지 사모님께 다 알려드려요?
그래서 말씀드릴까요? 사장님? 딱 1억만 부탁드립니다. 가족들 떠나는 거 보고싶지 않으시죠? "
2591,2591,갈취 대화,"야 돈 내놔
 뭘 안되긴 안돼 진짜 지난번처럼 맞고 싶냐?
 이 지갑 털어봐
 아이씨 이 거지새끼. 야 돈 더 없냐고
 그럼 맞기 전에 꺼져. 야 내일은 두 배로 갖고 와라"
2592,2592,협박 대화,"당장 세금 안내면 이빨 뺀치로 뽑아버리겠어
당신 작년에도 안내고 올해도 안내서 가산금 붙었어 어쩔꺼야
나라에서 내라는 건데 귀찮아도 내야지 얻어맞고싶니?
나중에 언제 계좌번호 찍고 빨리 기한내 안내면 망치로 머리 때린다"
2593,2593,협박 대화,"니 지금 뭐라했노
닌 죽었다 시키야 어디서 건방지게
뭐 저런 눈치 없는 시키를 봤노
니 말 잘했다 원래는 안죽이는데 이런데도 살라카니까 그냥 죽이고 난 감옥소로 갈라칸다.
시끄러워"
2594,2594,갈취 대화,"그 얼굴로 잘도 연기하고 있네.
나 너 고등학교 동창이다. 학폭한거 사장님이 아시니?
얼굴도 다 갈아엎었네.
그럼 1억 송금해.
사회에서 매장되고 싶어?"
2595,2595,갈취 대화,"움직이지마!
보면몰라? 여기 가방에 다 넣어 죽기 싫으면
신고하기전에 니가 먼저 죽을걸
 다치기 싫으면 여기에 금 다 털어!
나는 이미 앉았어 얼른 넣어 잔말말고"
2596,2596,협박 대화,"야 일처리 똑바로 하랬지
저번처럼 어금니 하나 더 뽑혀봐야 정신차리려나?
내가 니네 가족이고 친구고 다 알고있어
특히 길동
앞으로 이딴식으로 일하면 니가 아니라 얘부터 잡아다가 손가락 하나씩 부러뜨릴줄알아 정신차려라"
2597,2597,기타 괴롭힘 대화,"니가 나 안만나주니까.
갑자기 왜 그러는건데.
내가 착각했다고? 너 맨날 나보고 인사해주고 웃어줬잖아.
이렇게라도 해야 니가 만나주니까 그렇지.
스토킹? 너 진짜 미쳤구나? 어떻게 이게 스토킹이야? 그러니까 니가 만나주면 됐잖아!"
2598,2598,갈취 대화,"그 길동 국회의원님 비서분 되시죠?
이번 대선 때 그 국회의원님 출마하시죠? 꽤 지지도도 높으시다고 들었는데요.
에이 설마요. 얼마전 비서분 안 계실 때 의원님 음주운전 하고 계시던데 아세요?
루머 아니니까 괜찮죠. 경찰한테도 걸렸던데 뭐 돈 주니까 그냥 넘어가던데요?
지금 보내드리는 영상 봐보십시오. 거칠게 운전하는 장면이랑 돈 넘기는 장면까지 제가 다 '찍어놨습니다.
역시 너도 돈으로 해결하려 그러네. 그럼 한 7000만원만 준비해."
2599,2599,기타 괴롭힘 대화,"원숭이 엉덩이는 빨개 빨가면 사과 사과는 맛있어 맛있으면 바나나 야 홍당무 사과는 맛있는데 왜 바나나냐?
그니까 홍당무 홍당무는 빨간색이지. 여러분 여기 홍당무가 지나가요.
머래. 한번 홍당무는 영원한 홍당무야. 홍당무 홍당무 홍당무 홍당무는 사과래요. 바나나가 아니랍니다.
하지마 싫은데 할건데.
이건 무시가 아니라 팩트야 꼬우면 너도 내 약점 잡아서 놀리던가 그러지도 못하는게 나대긴"
2600,2600,기타 괴롭힘 대화,"야 너 그거뭐냐?
수족? 너 팔 없냐
아 왜 웃긴데 너가 이병헌이냐 마네킹같은거 끼우고 겁나 웃긴다 모히또 가서 몰디브 한잔이나 해 
아 왜 재밌잖아 이병헌 대사 따라해봐 "
2601,2601,협박 대화,"아니 젊은 것들이 나이든 사람이 그러면 그런가보다 하지 그렇게 따지고 들어?
뭐야??
아니 자기야 놔봐 이런 사람들 늘 이러니까 누군가는 말해야한다니까
자기야 그게 우리가 될 필요가 없잖아 말 안통할것같아 가자
야 니네 거기 서봐 아주 그냥뭐라고? 이것들이 사람을 가지고 놀아? 니네 죽고싶어?
아니 이것들이 진짜 뒤지고 싶나 쌍으로 저승길 한번 보내줘?"
2602,2602,갈취 대화,"어 그래 약국은 잘 돼지?
응 그래그래 근데 다음주부터 여기 약국에 다른 사람이 들어오기러 했는데 어떡하지?
아니 나친한 친구 딸도 약사인데 목 좋은데서 하고 싶다고 사정사정하기길래
그치? 그래서 너무 인정머리 없는 것 같아서 내가 내려왔잖아
그 친구가 약국 인수하게 해주면 돈 좀 챙겨준다는데 나는 김약사 그동안의 정을 생각해서 먼저 알려주라고 내려왔지친구가 준다는거 딱 반만 받겠네"
2603,2603,협박 대화,"너 미쳤어? 회사 망하기를 바래? 입 다물고 있어. 내가 알아서 해결할테니까
니 집에 갓난아들 하나 있지? 너보다 먼저 죽게 해줄까? 태어나자마자 아빠 소리도 못 듣게 죽여줘?
그사람들이 죽던 말던 이 디퓨저가지고 그런 일 일어났다고 아무도 생각 안 해. 제발 일 좀 키우지 마.
그래 말 해. 너도 우리 망하게 하면 너도 망할 준비해야지 남 등에 칼 꽂을거면 너도 꽂힐 각오 해야지.
너 멋대로 생각하고 행동해. 그에 따른 책임은 너가 져야 할테니까. 힘들게 가진 아이 이제 죽을 날만 남았네. 이걸 어째 자기가 지 아빠 때문에 죽게 되니 참 안타깝네."
2604,2604,기타 괴롭힘 대화,"아 진짜 교실에서 썩은 냄새나지 않냐?
 야 네가 말하니까 네 남친이 우리 쳐다보는데?
응 이제 수업 시작함 넌 네 자리에서 남친 짝꿍님이랑 잘 해보세요
미안해. 
오 둘이 완전 잘 어울리는데"
2605,2605,갈취 대화,"야 너 돈 좀 있냐
뭐래 있잖아 좀 줘바
어? 진짜 없네 너 집 못사는구나 거지냐
너네 아버지는 뭐하시냐? 없냐?
와 내 주변에 이런 그지 가 있었네"
